Symbol,Year,Month,Avg_Close,Month_High,Month_Low,Avg_Volume,Avg_Return,Avg_Volatility,Avg_RSI,Trading_Days
LT,2021,1,1278.72,1325.1,1217.49,4007435.0,0.19,16.21,65.86,20
LT,2021,2,1440.01,1511.67,1268.93,4496190.0,0.43,37.02,66.66,20
LT,2021,3,1376.02,1485.09,1290.61,3594522.0,-0.07,26.55,40.14,21
LT,2021,4,1299.68,1373.93,1239.32,2537095.0,-0.28,23.25,39.59,19
LT,2021,5,1333.83,1423.08,1251.8,3244728.0,0.46,20.19,62.24,20
LT,2021,6,1428.75,1502.18,1373.36,2568779.0,0.11,19.39,60.43,22
LT,2021,7,1482.2,1563.05,1400.16,2587947.0,0.37,21.02,63.3,21
LT,2021,8,1555.51,1617.02,1499.75,2171179.0,0.21,22.94,56.7,21
LT,2021,9,1639.44,1737.03,1588.47,2157427.0,0.09,20.75,67.24,21
LT,2021,10,1690.23,1809.0,1616.15,2596209.0,0.19,22.32,58.3,20
LT,2021,11,1806.37,1901.85,1665.19,2967440.0,0.01,36.73,59.97,20
LT,2021,12,1775.1,1832.04,1691.01,2061879.0,0.32,26.8,49.08,23
LT,2022,1,1881.21,1994.75,1775.51,2166236.0,0.05,34.99,63.07,20
LT,2022,2,1796.69,1927.04,1680.41,2286328.0,-0.22,35.41,39.43,20
LT,2022,3,1671.37,1753.29,1530.7,2606576.0,-0.12,31.41,45.36,21
LT,2022,4,1679.19,1783.09,1585.4,2260726.0,-0.21,30.63,47.85,19
LT,2022,5,1536.96,1617.98,1441.44,2287888.0,-0.09,33.61,37.5,21
LT,2022,6,1492.72,1606.22,1397.63,2069110.0,-0.26,29.49,41.96,22
LT,2022,7,1631.38,1781.14,1472.73,2095724.0,0.79,34.14,74.24,21
LT,2022,8,1804.81,1889.52,1723.31,1891013.0,0.32,24.04,70.87,20
LT,2022,9,1861.17,1939.09,1747.02,1883969.0,-0.17,24.41,50.5,22
LT,2022,10,1858.21,1977.63,1763.16,1817453.0,0.49,26.39,52.05,19
LT,2022,11,1966.92,2037.06,1914.98,1701135.0,0.12,19.03,64.94,21
LT,2022,12,2072.0,2149.62,1992.64,1885053.0,0.03,26.24,65.13,22
LT,2023,1,2094.02,2233.25,2000.32,2123958.0,0.1,33.42,54.51,21
LT,2023,2,2107.28,2198.6,2022.0,2253224.0,-0.03,26.17,49.13,20
LT,2023,3,2103.53,2183.29,2041.14,2192784.0,0.13,24.52,49.49,21
LT,2023,4,2194.47,2302.6,2094.6,1957677.0,0.53,38.89,62.12,17
