Date,Open,High,Low,Close,Volume,Symbol,MA_7,MA_14,MA_30,Daily_Return,Volatility_7,Price_Range,RSI,MA_Signal,Year,Month
2020-01-20,413.31,415.65,403.16,405.84,8486390.0,BAJFINANCE,409.27,406.03,406.03,-1.87,3.34,12.49,43.2,Bullish,2020,1
2020-01-21,405.58,409.11,402.37,404.47,8979220.0,BAJFINANCE,409.19,405.38,405.92,-0.34,3.48,6.74,42.18,Bullish,2020,1
2020-01-22,409.1,409.15,402.98,404.82,7979010.0,BAJFINANCE,408.88,404.66,405.86,0.09,3.79,6.17,41.07,Bullish,2020,1
2020-01-23,402.95,406.94,399.23,403.22,11545220.0,BAJFINANCE,407.94,404.18,405.7,-0.4,4.3,7.71,43.79,Bullish,2020,1
2020-01-24,402.65,411.03,401.78,409.94,8648920.0,BAJFINANCE,407.76,405.57,405.94,1.67,4.17,9.25,73.72,Bullish,2020,1
2020-01-27,407.93,411.25,405.98,406.99,7821550.0,BAJFINANCE,406.98,406.66,405.99,-0.72,3.62,5.27,67.96,Bullish,2020,1
2020-01-28,405.6,415.26,405.6,411.74,10527640.0,BAJFINANCE,406.72,407.8,406.28,1.17,3.09,9.66,68.41,Bullish,2020,1
2020-01-29,414.86,434.32,411.95,431.88,45814130.0,BAJFINANCE,410.44,409.86,407.5,4.89,9.94,22.37,75.66,Bullish,2020,1
2020-01-30,436.27,438.33,424.63,426.53,35777740.0,BAJFINANCE,413.59,411.39,408.36,-1.24,11.16,13.7,68.03,Bullish,2020,1
2020-01-31,427.09,431.98,423.55,426.69,17369270.0,BAJFINANCE,416.71,412.79,409.16,0.04,11.35,8.43,67.06,Bullish,2020,1
2020-02-03,415.38,427.76,415.38,426.05,10941810.0,BAJFINANCE,419.97,413.96,409.86,-0.15,10.03,12.38,64.63,Bullish,2020,2
2020-02-04,428.84,444.68,427.79,441.67,19583230.0,BAJFINANCE,424.51,416.13,411.14,3.67,11.76,16.89,71.84,Bullish,2020,2
2020-02-05,441.26,443.7,437.61,442.55,12856310.0,BAJFINANCE,429.59,418.28,412.34,0.2,10.55,6.09,71.68,Bullish,2020,2
2020-02-06,442.55,457.17,442.24,456.05,18464770.0,BAJFINANCE,435.92,421.32,413.96,3.05,11.32,14.93,75.97,Bullish,2020,2
2020-02-07,455.82,458.06,452.12,454.87,9503260.0,BAJFINANCE,439.2,424.82,415.42,-0.26,13.15,5.94,82.59,Bullish,2020,2
2020-02-10,455.43,462.66,453.48,461.46,11608790.0,BAJFINANCE,444.19,428.89,417.01,1.45,14.13,9.18,85.43,Bullish,2020,2
